,year,month,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
14,2017,3,5598.04178734489,1066.0266572231178,287.55658825988843,26.093094883243474,358.2471221139767,1.817938971371206,392.31378429965275,98.42590059964388,9.625402664406236,62421.27314155534,18305.72993682274,1940.037467834072,17317.78372470456,70.26811914447384,24787.45389304949
15,2017,4,5279.568875971565,1055.2910144854447,277.6024353926721,30.825008283955842,355.3676786424423,1.403867493987005,390.0935599632302,68.50771342123218,9.580746945882685,70977.09831524486,19803.696241438138,3122.3780113915486,19996.649014136703,91.12988160976626,27963.245166668694
16,2017,5,5518.468928422724,1150.987845370301,298.52049709059696,19.93035414402475,405.40804089515075,1.676354508617169,420.4367936145634,59.25623479141311,9.564767059481689,70997.28110554864,19463.545472489826,1651.2005889117888,22049.713253637274,76.56988486170884,27756.25190564806
17,2017,6,5479.0043851441105,1265.495808305075,339.79730061004824,36.00829501928767,390.3374731648618,2.711402661902149,496.6399624122756,65.6265903689187,13.449997803237311,82936.16366499217,22852.106619016005,3308.385033362464,21905.39435190174,138.42320006561746,34731.85446064635
18,2017,7,5759.239855848831,1243.4615631730508,332.69505422142635,44.55256428132991,389.38645435802806,2.6051326160096635,474.219678117369,65.51920767144941,16.53597461887409,81306.940374184,22302.65090741845,3727.1970044850536,22023.266385822786,125.8800306549882,33127.94604580273
19,2017,8,5657.764437364411,1179.8121588608321,314.7989229392794,32.99700385401982,375.45461137440606,2.417554445596281,454.1276902216632,117.7171380960998,13.861142189931167,71153.08502326126,19956.73263372086,2722.401348839775,19090.452621545668,112.3293773776368,29267.704756063034
20,2017,9,5137.807158064125,674.9404667595597,203.60400539189516,16.28902052559517,223.3986356167509,1.3712711870344885,229.32691222782339,188.4934581798351,8.07786740461368,39222.878176192375,12810.375577960776,1404.753791718402,10529.458527750512,62.56253613656819,14415.72774262611
21,2017,10,5369.160143064351,778.8079423552533,231.7401241263255,12.67905741276024,254.7121187759705,2.3711252595926138,277.05331281874885,37.26976151750504,7.967682043774412,45837.340394433195,14441.87122734693,1009.3077027452396,12955.409413781988,115.21374624431132,17315.538304314734
22,2017,11,5176.518627827427,605.777152915962,200.35672409473668,7.735710683178137,190.50477262305606,2.5511493058900387,204.63025184411134,18.183250517609167,7.093359928591946,33012.66251472829,11650.55944778774,681.1220089005122,8038.398348305729,207.0839454342286,12435.49876430007
23,2017,12,5196.829263450544,965.6342818631459,301.1053872982515,25.6934093407017,282.9565077700243,3.151615791576439,352.72520368559674,48.167354222277,10.359776291554047,56971.96550328324,18875.19480551839,2810.61645190956,12916.86376871669,147.84211373859253,22221.448363400006
